,Age,Gender,Location,Phone Brand,OS,Scr_time(h/d),data_usage(gb/mo),calls_dur(min/d),installed_apps,soical_media(h/d),E-commerce(INR/m),streaming(hrs/d),gaming(hrs/d),recharge(INR),Primary_Use
4802,19,Male,Bangalore,Google Pixel,Android,9.1,2.0,121.3,186,2.8,7620,4.7,3.7,1910,Gaming
4803,36,Female,Mumbai,Google Pixel,Android,11.3,26.3,188.3,156,4.7,5401,4.7,2.5,207,Work
4804,49,Male,Kolkata,Motorola,Android,8.9,23.8,284.9,193,2.7,3061,0.5,1.8,1491,Social Media
4805,44,Male,Jaipur,OnePlus,Android,3.8,48.3,70.6,131,2.4,8190,0.8,1.5,1456,Education
4806,48,Female,Pune,OnePlus,Android,10.3,22.3,269.7,119,2.2,908,1.6,4.2,1310,Social Media
4807,25,Female,Kolkata,Apple,iOS,11.6,37.9,33.3,134,1.7,9265,7.6,0.2,933,Education
4808,30,Male,Delhi,Samsung,Android,10.9,12.8,90.2,135,2.2,3615,7.1,4.2,588,Education
4809,30,Other,Hyderabad,Xiaomi,Android,1.3,11.5,208.2,58,3.0,7207,6.5,1.8,1112,Work
4810,19,Male,Delhi,Samsung,Android,8.1,4.6,172.1,50,3.4,8014,4.0,3.7,561,Gaming
4811,24,Other,Lucknow,Apple,iOS,7.3,1.2,67.7,86,4.9,8177,8.0,2.1,1408,Gaming
4812,15,Other,Mumbai,Apple,iOS,1.1,38.2,289.5,169,4.5,3063,4.1,3.1,1629,Work
4813,28,Male,Bangalore,Samsung,Android,3.3,21.0,185.4,150,5.4,8820,4.9,4.3,1425,Work
4814,53,Other,Chennai,Xiaomi,Android,7.9,33.2,226.6,164,1.4,9462,2.8,4.8,405,Social Media
4815,29,Female,Hyderabad,Motorola,Android,7.1,47.3,169.0,107,4.3,4103,6.0,1.0,1350,Social Media
4816,36,Female,Ahmedabad,Nokia,Android,11.2,16.8,274.8,189,2.7,6619,1.1,3.8,206,Entertainment
4817,27,Female,Delhi,OnePlus,Android,3.2,22.2,245.8,194,4.1,769,5.6,4.1,1939,Entertainment
4818,56,Other,Bangalore,Motorola,Android,8.7,9.5,153.6,193,3.7,4229,7.7,0.2,1714,Work
4819,27,Other,Chennai,Oppo,Android,10.4,12.3,19.8,20,5.3,3416,2.4,2.9,254,Entertainment
4820,39,Other,Kolkata,Google Pixel,Android,7.3,22.5,95.0,104,3.7,7971,5.2,2.0,1224,Education
4821,54,Other,Hyderabad,OnePlus,Android,2.2,17.0,45.1,134,5.6,6142,4.2,0.7,1028,Work
4822,51,Male,Ahmedabad,Realme,Android,2.5,38.6,265.5,191,5.3,3959,6.6,4.9,696,Gaming
4823,58,Female,Jaipur,Nokia,Android,6.0,34.7,176.0,84,5.3,1964,7.4,0.3,1275,Entertainment
4824,43,Female,Ahmedabad,Oppo,Android,11.8,41.0,176.4,124,3.8,3107,4.0,0.5,1239,Education
4825,55,Male,Lucknow,Google Pixel,Android,6.6,3.9,87.2,39,5.7,7865,5.6,4.0,1345,Education
4826,40,Other,Lucknow,Google Pixel,Android,8.0,7.6,44.7,194,4.8,4996,5.7,1.0,1098,Education
4827,26,Female,Chennai,Oppo,Android,8.6,19.1,194.2,17,5.2,4776,2.4,4.9,704,Entertainment
4828,20,Other,Jaipur,Nokia,Android,9.6,35.9,215.9,80,2.4,3414,5.1,1.1,111,Gaming
4829,48,Other,Kolkata,OnePlus,Android,1.7,4.0,207.1,85,2.7,9652,1.5,2.3,459,Entertainment
4830,29,Other,Kolkata,Apple,iOS,4.3,31.7,176.0,11,4.9,9781,7.7,1.7,1112,Education
4831,26,Male,Chennai,Xiaomi,Android,5.7,41.8,156.4,104,2.5,7033,1.2,4.1,263,Work
4832,45,Male,Mumbai,Samsung,Android,6.8,15.1,122.1,47,4.8,5158,2.4,3.6,1907,Social Media
4833,54,Female,Mumbai,Google Pixel,Android,6.0,15.5,142.3,30,1.5,1329,5.3,1.0,619,Gaming
4834,26,Male,Jaipur,Vivo,Android,8.5,39.5,22.4,143,2.0,8622,5.6,3.1,416,Entertainment
4835,33,Female,Chennai,Xiaomi,Android,6.0,5.9,141.3,56,5.8,9831,4.5,3.9,1787,Social Media
4836,55,Male,Ahmedabad,Nokia,Android,2.5,15.5,278.4,102,0.8,1782,7.5,0.8,625,Entertainment
4837,15,Male,Jaipur,Samsung,Android,4.0,15.8,298.2,114,1.8,5659,1.0,1.7,621,Education
4838,20,Female,Lucknow,Xiaomi,Android,9.7,14.5,296.6,107,1.2,3300,6.0,0.4,1252,Social Media
4839,24,Female,Pune,Google Pixel,Android,6.0,27.4,100.3,182,5.5,5566,1.7,0.7,349,Work
4840,58,Male,Bangalore,Vivo,Android,10.1,27.9,165.3,139,2.7,3385,2.6,2.4,1828,Social Media
4841,31,Male,Kolkata,Google Pixel,Android,7.6,8.3,133.4,51,1.5,6372,5.7,1.3,512,Education
4842,45,Male,Jaipur,Motorola,Android,2.8,25.2,166.3,87,3.0,8330,7.4,3.0,1409,Education
4843,17,Male,Pune,Apple,iOS,8.7,21.1,174.4,116,0.9,8272,0.7,0.2,1021,Work
4844,55,Female,Bangalore,Realme,Android,6.7,20.4,231.3,196,2.6,6755,5.4,1.4,1091,Work
4845,33,Other,Pune,OnePlus,Android,4.9,18.7,41.2,128,1.0,5698,3.1,0.7,1530,Gaming
4846,18,Female,Mumbai,Motorola,Android,5.6,21.4,219.7,73,3.2,6505,3.6,1.6,182,Entertainment
4847,37,Other,Ahmedabad,Realme,Android,6.3,16.6,212.5,166,1.8,544,3.3,2.7,111,Education
4848,52,Other,Lucknow,Realme,Android,8.8,15.6,206.7,164,3.9,8460,4.7,1.9,798,Social Media
4849,24,Male,Bangalore,Samsung,Android,8.1,21.2,102.0,188,5.0,6756,2.3,4.3,883,Entertainment
4850,46,Other,Hyderabad,Nokia,Android,11.1,8.7,173.7,57,0.8,135,1.0,0.7,1559,Education
4851,51,Male,Kolkata,Google Pixel,Android,1.1,43.2,81.5,187,1.8,8136,4.2,4.0,907,Work
4852,59,Other,Hyderabad,Vivo,Android,4.0,11.2,149.0,152,5.3,2771,5.8,1.6,1904,Social Media
4853,16,Female,Chennai,Google Pixel,Android,9.6,36.4,226.7,169,5.8,4807,6.7,3.6,1087,Education
4854,30,Female,Delhi,Oppo,Android,4.8,5.8,229.2,47,2.7,205,1.6,0.3,523,Entertainment
4855,29,Male,Bangalore,Google Pixel,Android,4.5,42.3,72.1,57,4.6,3843,7.3,4.7,322,Gaming
4856,26,Female,Ahmedabad,Samsung,Android,4.8,12.9,89.9,194,2.0,5626,4.9,4.8,919,Education
4857,51,Male,Delhi,OnePlus,Android,11.7,20.4,209.2,148,4.9,2183,6.9,2.7,562,Social Media
4858,29,Other,Pune,Motorola,Android,2.7,33.3,277.7,195,2.2,4608,2.0,0.0,1737,Education
4859,42,Male,Jaipur,Vivo,Android,6.1,4.1,112.1,150,2.8,8946,7.6,4.6,203,Entertainment
4860,30,Other,Mumbai,Samsung,Android,6.3,40.8,88.4,84,2.5,3939,6.9,1.4,1337,Entertainment
4861,42,Female,Pune,Apple,iOS,5.2,18.6,297.6,39,1.4,7996,1.4,3.3,1759,Work
4862,38,Female,Bangalore,Vivo,Android,9.9,10.9,161.5,78,4.0,929,2.6,1.1,1826,Entertainment
4863,52,Female,Lucknow,Samsung,Android,3.7,22.9,61.4,18,1.7,4683,2.9,4.9,1040,Gaming
4864,54,Other,Jaipur,Motorola,Android,2.9,19.6,204.6,68,5.9,7084,7.1,2.8,1473,Social Media
4865,50,Female,Lucknow,Oppo,Android,8.4,14.2,220.3,145,3.0,5364,1.1,0.8,698,Entertainment
4866,55,Other,Bangalore,Nokia,Android,7.1,38.1,210.4,177,5.2,1872,6.2,2.9,1960,Gaming
4867,41,Male,Lucknow,Realme,Android,9.7,24.0,107.5,19,2.0,9153,2.3,0.6,1792,Social Media
4868,55,Female,Hyderabad,Xiaomi,Android,1.2,47.1,227.5,149,1.2,1493,5.5,0.8,1183,Social Media
4869,37,Male,Delhi,Google Pixel,Android,10.4,13.9,102.8,42,6.0,1171,3.2,4.7,355,Education
4870,41,Female,Pune,Oppo,Android,6.1,20.3,117.1,189,3.3,1786,0.6,0.4,1408,Education
4871,18,Male,Pune,OnePlus,Android,11.6,7.8,153.1,122,1.1,3994,6.0,3.9,1241,Gaming
4872,57,Male,Jaipur,Oppo,Android,1.6,8.8,289.9,138,1.8,3359,2.4,4.1,1092,Work
4873,15,Other,Lucknow,Oppo,Android,1.3,35.5,295.5,172,1.6,5864,5.2,3.6,1863,Education
4874,31,Other,Mumbai,Samsung,Android,1.5,9.1,74.8,186,4.4,3696,4.6,1.5,260,Education
4875,24,Other,Mumbai,Samsung,Android,10.9,34.7,273.3,60,4.4,3143,4.5,2.2,1197,Entertainment
4876,36,Other,Hyderabad,Apple,iOS,7.7,45.5,73.5,53,4.0,9723,1.2,0.7,1882,Entertainment
4877,60,Female,Jaipur,Vivo,Android,4.0,10.3,39.7,160,3.3,2870,1.9,4.4,912,Gaming
4878,39,Other,Delhi,Xiaomi,Android,8.1,28.5,81.3,73,5.5,2388,3.5,0.6,742,Entertainment
4879,31,Other,Bangalore,Google Pixel,Android,3.2,20.3,144.8,66,2.2,7454,5.4,1.2,1953,Social Media
4880,44,Female,Chennai,Xiaomi,Android,8.9,27.2,161.8,135,1.0,1387,3.5,0.3,1488,Work
4881,53,Male,Bangalore,Xiaomi,Android,5.7,12.9,8.6,89,4.3,1186,5.3,0.1,1247,Education
4882,56,Other,Hyderabad,Samsung,Android,2.5,4.5,287.4,152,2.1,9645,3.1,4.1,1761,Education
4883,19,Other,Hyderabad,Google Pixel,Android,9.8,36.2,28.6,44,0.8,9338,7.4,3.3,1115,Work
4884,47,Male,Kolkata,Samsung,Android,7.2,33.0,194.5,84,1.5,6253,2.0,3.1,1995,Education
4885,35,Other,Jaipur,Oppo,Android,1.5,32.7,244.3,141,3.3,2296,5.3,2.9,1087,Entertainment
4886,35,Male,Kolkata,Vivo,Android,11.0,41.4,262.5,154,3.9,4983,4.2,4.6,1512,Gaming
4887,50,Female,Lucknow,Oppo,Android,10.7,8.5,265.1,134,2.3,9693,1.2,4.4,474,Education
4888,29,Other,Hyderabad,OnePlus,Android,2.0,33.8,16.5,179,3.9,7499,2.7,0.7,433,Entertainment
4889,50,Male,Ahmedabad,Xiaomi,Android,11.4,35.1,168.1,77,3.5,991,1.3,2.1,1790,Entertainment
4890,25,Other,Hyderabad,OnePlus,Android,7.4,6.7,99.9,185,3.4,299,2.9,1.0,1170,Entertainment
4891,24,Other,Kolkata,OnePlus,Android,5.4,24.7,66.0,198,3.6,7672,2.3,0.5,1664,Education
4892,40,Female,Mumbai,Google Pixel,Android,3.4,29.0,37.6,161,4.9,8584,7.9,1.3,559,Gaming
4893,48,Female,Delhi,Xiaomi,Android,9.6,25.3,159.6,87,0.7,6292,5.7,4.6,1981,Social Media
4894,24,Male,Delhi,Vivo,Android,8.2,21.6,285.4,96,5.2,5627,7.5,4.2,497,Gaming
4895,20,Other,Lucknow,Realme,Android,3.4,46.8,177.2,34,5.3,5648,6.3,4.6,284,Entertainment
4896,50,Female,Ahmedabad,Xiaomi,Android,9.7,10.8,27.0,25,4.0,3015,5.1,4.9,454,Education
4897,60,Female,Pune,Motorola,Android,5.1,46.0,176.5,92,1.4,4371,7.8,1.0,1362,Social Media
4898,26,Other,Mumbai,Samsung,Android,7.0,24.3,194.6,177,3.5,2661,1.6,4.7,498,Work
4899,20,Male,Bangalore,Nokia,Android,8.0,34.3,164.8,84,5.5,8012,5.8,0.8,405,Entertainment
4900,35,Female,Jaipur,Realme,Android,3.9,4.9,285.3,61,2.4,6126,5.5,3.5,412,Gaming
4901,29,Male,Chennai,OnePlus,Android,3.0,7.8,235.8,103,1.0,4366,1.6,1.4,1943,Gaming
4902,55,Other,Jaipur,Vivo,Android,8.7,23.3,133.2,183,5.9,352,2.3,2.5,639,Entertainment
4903,41,Male,Chennai,Motorola,Android,4.4,46.5,242.6,114,0.5,9408,6.5,0.9,1746,Social Media
4904,20,Other,Jaipur,Realme,Android,11.1,16.9,181.0,195,5.5,5099,5.9,3.5,2000,Social Media
4905,36,Male,Lucknow,Vivo,Android,8.0,48.5,62.5,114,5.6,5109,3.9,4.6,1258,Gaming
4906,50,Other,Kolkata,Nokia,Android,4.6,10.1,164.9,166,5.3,8666,2.2,1.2,119,Work
4907,43,Male,Pune,OnePlus,Android,11.8,9.6,60.0,151,4.4,6260,1.6,2.8,461,Gaming
4908,44,Other,Hyderabad,Vivo,Android,6.3,47.6,131.2,121,0.9,3067,6.9,0.7,166,Work
4909,59,Male,Kolkata,Vivo,Android,2.5,18.1,219.2,83,5.5,2292,3.2,0.3,1976,Social Media
4910,59,Female,Lucknow,Samsung,Android,2.2,46.8,56.9,119,4.2,766,2.4,1.2,364,Gaming
4911,56,Male,Pune,Realme,Android,10.7,33.3,96.6,104,0.7,5298,7.4,4.0,1983,Education
4912,47,Female,Chennai,Samsung,Android,4.6,10.0,71.6,56,5.2,3454,1.3,3.7,224,Education
4913,39,Male,Chennai,Nokia,Android,6.5,11.8,232.8,76,1.5,5088,5.3,1.7,1062,Education
4914,35,Male,Ahmedabad,Xiaomi,Android,5.7,19.0,111.5,55,5.6,6765,4.3,3.0,344,Social Media
4915,39,Male,Kolkata,Samsung,Android,5.6,40.2,111.4,191,1.2,9033,2.7,2.3,323,Education
4916,42,Other,Chennai,OnePlus,Android,2.3,35.5,134.4,181,5.0,345,6.8,1.7,1015,Gaming
4917,60,Female,Kolkata,Motorola,Android,11.8,29.6,73.1,87,2.5,7163,1.5,1.1,1020,Education
4918,24,Male,Jaipur,Xiaomi,Android,8.0,25.9,125.3,12,2.9,6761,2.2,3.8,1175,Entertainment
4919,33,Female,Hyderabad,Oppo,Android,9.4,4.3,170.7,117,2.5,3872,5.3,2.2,1049,Social Media
4920,30,Other,Kolkata,Apple,iOS,5.8,40.4,282.3,138,3.8,1627,6.9,3.9,399,Social Media
4921,52,Male,Kolkata,Samsung,Android,8.4,26.4,205.1,125,2.4,3664,7.2,0.2,1729,Gaming
4922,35,Male,Chennai,Xiaomi,Android,1.3,42.6,100.3,101,1.5,3721,1.1,4.0,576,Education
4923,24,Other,Kolkata,Motorola,Android,3.0,37.4,136.0,36,4.7,9775,1.0,3.1,1560,Work
4924,39,Female,Bangalore,Vivo,Android,11.8,23.2,169.4,38,2.3,4877,7.7,1.0,1267,Social Media
4925,45,Male,Chennai,Realme,Android,4.2,31.6,141.9,92,3.2,4223,6.9,4.8,1389,Entertainment
4926,18,Male,Lucknow,Xiaomi,Android,2.1,40.4,125.7,35,3.4,4772,3.8,4.5,1720,Social Media
4927,34,Female,Pune,OnePlus,Android,2.9,8.9,63.3,154,2.4,3919,1.3,2.1,263,Gaming
4928,16,Male,Chennai,OnePlus,Android,11.1,42.5,147.0,195,6.0,449,7.7,4.7,701,Education
4929,39,Male,Hyderabad,OnePlus,Android,11.2,43.6,96.6,153,5.3,9938,7.6,3.6,1539,Gaming
4930,48,Male,Delhi,Samsung,Android,5.9,30.8,187.4,12,1.3,866,4.6,3.2,980,Entertainment
4931,19,Female,Jaipur,Motorola,Android,3.1,29.5,199.1,130,4.1,2097,5.3,0.5,601,Entertainment
4932,28,Male,Ahmedabad,Xiaomi,Android,8.6,2.8,53.6,50,4.3,4940,7.6,0.8,132,Work
4933,26,Other,Bangalore,OnePlus,Android,7.9,3.1,78.4,39,4.0,4515,3.4,0.5,512,Education
4934,28,Female,Jaipur,OnePlus,Android,3.6,11.1,91.5,72,5.3,4864,1.7,0.8,1976,Social Media
4935,42,Male,Pune,Oppo,Android,3.2,26.5,239.5,200,4.9,5931,1.9,2.6,1379,Social Media
4936,59,Female,Mumbai,OnePlus,Android,2.8,13.9,25.9,165,2.0,9430,2.1,0.9,921,Work
4937,44,Female,Chennai,Nokia,Android,5.7,42.0,195.6,76,3.2,9078,2.9,0.1,1879,Entertainment
4938,47,Male,Hyderabad,Google Pixel,Android,3.4,22.3,134.2,170,5.9,2530,4.6,2.7,343,Entertainment
4939,53,Male,Delhi,Google Pixel,Android,3.6,4.9,176.6,198,2.5,4487,6.0,0.0,1810,Social Media
4940,22,Female,Hyderabad,Nokia,Android,6.2,18.2,284.8,96,5.8,1037,4.2,0.0,796,Work
4941,35,Female,Delhi,Google Pixel,Android,8.8,44.9,132.2,163,1.4,854,6.3,1.9,1299,Education
4942,22,Female,Jaipur,Nokia,Android,6.8,18.6,30.1,76,5.3,1659,7.4,1.2,1813,Gaming
4943,43,Female,Ahmedabad,Oppo,Android,10.8,39.7,250.5,102,2.3,3095,5.4,1.5,1722,Social Media
4944,19,Female,Chennai,Apple,iOS,6.2,31.4,248.0,45,3.8,4943,2.6,3.3,510,Social Media
4945,38,Other,Mumbai,Nokia,Android,6.5,40.4,38.7,26,0.9,2757,3.6,0.7,1451,Social Media
4946,21,Other,Chennai,Motorola,Android,2.5,8.6,168.8,80,1.9,529,4.8,0.6,1289,Work
4947,58,Female,Pune,Nokia,Android,8.6,29.0,287.0,175,5.4,7248,5.8,1.3,1098,Work
4948,52,Male,Delhi,Vivo,Android,9.4,44.7,52.5,199,1.5,5936,5.6,4.1,852,Gaming
4949,16,Male,Jaipur,Nokia,Android,10.7,48.7,289.8,18,5.0,6870,1.3,3.6,1676,Entertainment
4950,45,Male,Hyderabad,Google Pixel,Android,4.9,9.3,278.5,20,0.7,9415,6.8,4.5,114,Work
4951,56,Female,Jaipur,Motorola,Android,6.6,15.6,265.1,153,3.8,1931,7.5,1.2,529,Social Media
4952,52,Male,Mumbai,Motorola,Android,3.6,4.5,101.6,50,4.0,9296,4.5,4.2,233,Entertainment
4953,24,Male,Jaipur,Apple,iOS,9.1,31.3,174.7,115,0.6,9166,6.1,3.3,674,Entertainment
4954,21,Other,Bangalore,Motorola,Android,4.7,47.3,241.8,30,3.6,5550,3.9,2.1,1531,Work
4955,50,Male,Ahmedabad,Oppo,Android,3.4,47.9,81.9,43,3.2,5685,3.6,3.1,886,Education
4956,36,Other,Jaipur,Motorola,Android,4.6,30.4,257.8,35,3.8,3614,5.0,0.1,1665,Gaming
4957,58,Other,Chennai,Xiaomi,Android,1.1,31.5,98.3,120,1.8,4152,3.3,0.5,325,Gaming
4958,40,Female,Pune,Apple,iOS,3.0,3.3,208.4,47,2.2,3414,8.0,2.3,1995,Social Media
4959,58,Other,Hyderabad,Vivo,Android,4.1,21.7,16.2,144,1.4,6461,2.7,3.0,1652,Gaming
4960,47,Male,Jaipur,Xiaomi,Android,8.6,11.9,166.6,62,2.2,5483,4.2,0.4,1890,Entertainment
4961,41,Male,Lucknow,Apple,iOS,10.6,32.6,169.3,106,3.1,1408,5.0,1.9,1823,Gaming
4962,59,Other,Chennai,OnePlus,Android,5.0,10.7,102.7,192,5.7,9931,3.8,1.9,1261,Entertainment
4963,26,Female,Pune,Realme,Android,10.1,30.4,83.3,81,5.9,1281,3.3,0.4,1096,Gaming
4964,26,Female,Ahmedabad,Vivo,Android,4.7,39.8,283.4,188,2.9,3225,0.6,2.1,1258,Gaming
4965,59,Male,Chennai,Samsung,Android,10.6,48.2,265.9,38,3.4,6260,2.8,3.6,1976,Social Media
4966,60,Other,Chennai,Oppo,Android,5.3,33.6,284.5,172,4.9,4020,4.0,3.6,809,Work
4967,52,Other,Hyderabad,Realme,Android,4.2,12.4,137.1,192,1.2,2386,4.3,3.6,666,Social Media
4968,51,Female,Lucknow,OnePlus,Android,3.9,34.7,137.4,52,1.1,1897,2.6,2.8,586,Work
4969,26,Male,Jaipur,Realme,Android,9.2,10.5,63.6,151,1.1,4685,1.4,4.8,935,Social Media
4970,50,Female,Lucknow,Samsung,Android,9.2,12.8,252.8,161,3.2,8468,7.8,4.7,639,Social Media
4971,29,Other,Chennai,OnePlus,Android,4.0,15.4,85.8,126,3.2,4389,1.6,2.1,1168,Work
4972,18,Female,Delhi,Realme,Android,4.0,12.6,38.3,109,1.5,5883,4.6,2.8,1074,Gaming
4973,36,Female,Jaipur,Motorola,Android,2.0,41.7,57.8,96,5.8,8256,3.3,0.1,1228,Gaming
4974,31,Other,Chennai,Apple,iOS,6.3,6.6,108.5,11,4.0,1807,3.8,3.3,1241,Education
4975,47,Female,Jaipur,Xiaomi,Android,9.4,41.3,251.5,163,1.1,3823,7.2,1.7,1544,Work
4976,53,Male,Ahmedabad,Samsung,Android,2.8,40.1,91.7,92,5.2,9435,4.9,0.6,1093,Gaming
4977,20,Male,Delhi,Xiaomi,Android,9.4,23.1,136.2,171,2.0,3839,1.0,4.6,1894,Entertainment
4978,28,Female,Pune,OnePlus,Android,10.2,19.5,123.0,117,3.5,2921,5.5,3.5,1238,Entertainment
4979,28,Other,Pune,OnePlus,Android,1.8,21.0,143.6,189,5.0,8743,7.6,3.2,1404,Social Media
4980,18,Female,Mumbai,Samsung,Android,8.4,21.5,269.0,74,2.5,7993,7.2,3.9,849,Entertainment
4981,29,Male,Lucknow,Samsung,Android,11.3,41.6,62.2,79,3.7,5408,0.6,4.7,1231,Education
4982,40,Male,Lucknow,Nokia,Android,8.6,33.4,227.8,175,5.6,6388,6.8,2.8,300,Social Media
4983,59,Other,Hyderabad,Xiaomi,Android,3.1,36.2,189.4,70,0.5,8891,3.5,1.1,1869,Gaming
4984,28,Male,Jaipur,Vivo,Android,11.2,17.8,259.5,98,4.8,7873,1.9,3.9,1771,Social Media
4985,21,Female,Mumbai,Motorola,Android,10.1,19.6,18.9,65,2.7,1275,5.7,1.1,492,Work
4986,40,Other,Ahmedabad,Google Pixel,Android,10.5,33.6,232.3,59,2.5,7301,6.2,1.5,593,Work
4987,59,Male,Lucknow,Google Pixel,Android,7.7,44.2,263.3,115,4.6,3824,3.0,1.1,216,Gaming
4988,44,Female,Delhi,Motorola,Android,7.3,33.2,221.0,12,2.1,9418,1.7,3.9,1087,Social Media
4989,43,Female,Bangalore,Oppo,Android,5.6,21.6,246.1,154,4.4,2921,4.5,1.4,1712,Work
4990,54,Male,Delhi,Apple,iOS,8.9,35.3,22.0,97,0.9,7374,6.2,0.7,1033,Entertainment
4991,51,Female,Delhi,Motorola,Android,5.8,46.4,24.3,67,2.6,1624,3.5,4.6,260,Education
4992,50,Female,Jaipur,Motorola,Android,9.0,33.1,272.6,166,2.2,7346,2.9,4.9,654,Gaming
4993,47,Male,Bangalore,Google Pixel,Android,1.1,17.6,118.8,142,5.9,7322,0.7,3.1,950,Gaming
4994,59,Other,Mumbai,Samsung,Android,11.8,44.7,22.5,80,1.7,9494,1.2,4.7,250,Education
4995,16,Other,Jaipur,Oppo,Android,4.6,25.8,255.6,65,0.5,4504,2.7,0.1,736,Gaming
4996,44,Male,Mumbai,Realme,Android,7.2,32.4,244.0,144,2.7,3562,6.3,2.1,684,Education
4997,35,Female,Bangalore,Xiaomi,Android,11.2,10.4,106.8,187,2.0,7571,6.5,4.3,1199,Education
4998,51,Other,Bangalore,Xiaomi,Android,6.1,2.1,244.8,130,1.5,976,6.9,4.2,524,Education
4999,54,Male,Hyderabad,Apple,iOS,2.5,29.8,98.8,64,5.4,5459,3.4,1.2,142,Education
5000,31,Female,Ahmedabad,Oppo,Android,9.5,36.1,261.5,31,5.9,5970,7.3,0.9,600,Entertainment
5001,20,Female,Ahmedabad,Google Pixel,Android,1.6,48.4,234.8,142,5.9,4799,5.8,4.2,270,Entertainment
5002,30,Other,Hyderabad,Vivo,Android,9.9,31.2,137.7,166,4.8,6792,3.7,4.7,141,Gaming
5003,31,Female,Kolkata,Motorola,Android,2.9,26.0,12.2,33,1.2,4863,0.9,4.7,600,Social Media
5004,37,Other,Pune,Vivo,Android,11.8,35.9,134.0,83,2.6,2078,7.8,2.6,646,Social Media
5005,56,Male,Kolkata,Xiaomi,Android,10.1,34.5,66.9,28,4.8,2900,7.0,0.5,143,Education
5006,49,Other,Hyderabad,OnePlus,Android,9.9,14.7,41.3,135,2.1,4058,3.8,3.9,1150,Education
5007,57,Female,Jaipur,Xiaomi,Android,4.8,18.1,73.1,142,1.3,9602,1.4,4.8,1082,Work
5008,41,Female,Pune,Apple,iOS,9.0,12.8,148.4,53,3.8,2997,2.6,2.3,1996,Gaming
5009,30,Female,Mumbai,Samsung,Android,11.3,18.1,202.8,14,0.9,160,4.9,1.9,1386,Education
5010,30,Other,Bangalore,Nokia,Android,2.2,46.1,102.3,141,3.8,8630,7.5,1.8,441,Entertainment
5011,20,Other,Delhi,Oppo,Android,1.2,20.3,283.5,161,0.7,3178,3.3,1.7,505,Education
5012,25,Female,Bangalore,Apple,iOS,4.1,1.6,49.5,147,2.4,6623,2.4,1.7,1248,Education
5013,50,Male,Mumbai,Motorola,Android,8.3,2.3,134.5,181,3.4,4920,2.7,3.9,1598,Work
5014,21,Other,Kolkata,Samsung,Android,11.3,40.8,174.8,72,3.1,7565,3.1,1.5,1469,Entertainment
5015,16,Male,Chennai,OnePlus,Android,9.4,12.1,150.1,22,4.0,7042,3.7,3.6,934,Gaming
5016,36,Female,Ahmedabad,Oppo,Android,11.0,13.4,228.5,16,4.0,7165,2.7,0.3,1745,Gaming
5017,36,Female,Kolkata,Samsung,Android,7.9,1.2,135.3,20,2.8,876,0.7,1.1,1716,Education
5018,39,Female,Lucknow,Xiaomi,Android,8.8,3.4,121.1,126,1.2,6134,7.3,4.8,851,Work
5019,27,Female,Hyderabad,Apple,iOS,3.1,15.5,157.0,90,5.2,4515,1.8,3.9,1785,Education
5020,29,Other,Hyderabad,Vivo,Android,9.1,10.5,223.8,75,3.9,3045,7.4,1.8,513,Gaming
5021,43,Other,Delhi,Xiaomi,Android,3.5,40.6,286.3,75,2.7,5939,3.0,4.5,360,Entertainment
5022,54,Other,Chennai,Apple,iOS,2.8,13.6,102.8,49,2.8,9775,7.7,4.7,1212,Education
5023,48,Male,Pune,Motorola,Android,10.0,42.1,202.0,75,0.5,3391,5.8,0.7,244,Work
5024,43,Male,Chennai,Apple,iOS,1.2,17.5,95.2,98,2.5,2628,4.9,2.9,1920,Entertainment
5025,53,Male,Lucknow,Xiaomi,Android,11.1,36.7,30.6,42,3.6,3736,7.1,4.5,1083,Work
5026,38,Female,Ahmedabad,Samsung,Android,5.0,31.2,76.7,177,2.7,4792,7.7,0.7,1633,Education
5027,47,Female,Ahmedabad,Motorola,Android,1.6,6.1,210.8,60,2.8,2988,7.8,0.3,400,Education
5028,31,Female,Lucknow,Motorola,Android,4.6,14.9,278.4,37,3.0,8652,7.9,3.7,314,Entertainment
5029,16,Female,Delhi,Motorola,Android,1.7,12.9,116.8,23,2.8,5612,7.5,4.0,823,Entertainment
5030,32,Female,Delhi,Nokia,Android,1.3,42.7,293.0,185,6.0,6995,6.5,2.1,621,Education
5031,53,Other,Jaipur,Oppo,Android,5.1,11.2,77.8,88,2.1,5240,4.0,0.4,916,Entertainment
5032,21,Male,Delhi,Oppo,Android,12.0,24.8,205.6,23,4.0,6152,5.1,4.0,1834,Work
5033,36,Male,Bangalore,Motorola,Android,7.7,26.8,212.1,100,3.9,3279,6.6,1.7,246,Entertainment
5034,32,Male,Delhi,Motorola,Android,4.1,47.0,294.3,184,0.7,2389,4.5,1.8,1570,Education
5035,50,Female,Jaipur,Samsung,Android,2.5,19.8,196.2,51,1.5,915,6.0,3.1,909,Education
5036,27,Male,Ahmedabad,Realme,Android,10.8,39.6,213.8,59,0.7,5797,3.1,2.0,1923,Gaming
5037,58,Female,Chennai,OnePlus,Android,11.6,45.9,287.7,176,4.9,6695,7.9,1.2,458,Gaming
5038,59,Female,Bangalore,OnePlus,Android,6.2,36.3,96.9,24,4.0,4835,5.9,0.4,519,Work
5039,34,Other,Delhi,Oppo,Android,6.3,24.9,270.6,111,5.8,478,5.0,4.0,951,Work
